"","var.name","var.est","var.stat"
"1","N","5","0.261111111111111"
"2","Alpha1","0.862007884220388","0.0905167717389397"
"3","Alpha2","0.125439120201328","0.09695021426869"
"4","Alpha3","0.0120768384607297","0.00845703632651974"
"5","Alpha4","0.000362839980811848","0.000604822548633446"
"6","Alpha5","7.7472775957441e-05","9.95621386036273e-05"
"7","Lambda1","0.10801358438906","0.00498490107788469"
"8","Lambda2","0.0935314859145972","0.0175844074778493"
"9","Lambda3","0.21652540124243","0.43047751964318"
"10","Lambda4","0.616535897888655","0.594262798249311"
"11","Lambda5","0.64656208683488","0.656683931798458"
